role,industry,company_size,lead_source,seniority,growth_rate,lead_score,timing_segment,day_of_week,send_hour,timezone_region,email_replied
CTO,AI,large,Inbound,executive,0.01,0.31,CTO|Inbound|US,Thursday,9,US,0
Marketing Manager,AI,large,Conference,mid,0.446,0.317,Marketing Manager|Conference|Europe,Sunday,8,Europe,0
Founder,SaaS,large,Conference,junior,0.067,0.239,Founder|Conference|Asia,Sunday,15,Asia,0
CEO,Healthcare,large,Inbound,senior,0.17,0.356,CEO|Inbound|Europe,Wednesday,7,Europe,0
CTO,AI,large,Inbound,executive,0.786,0.52,CTO|Inbound|US,Saturday,14,US,0
Founder,Fintech,enterprise,Conference,mid,0.296,0.31,Founder|Conference|Europe,Thursday,14,Europe,0
Marketing Manager,AI,medium,Conference,mid,0.692,0.385,Marketing Manager|Conference|Asia,Tuesday,20,Asia,0
Founder,SaaS,large,Conference,executive,0.327,0.415,Founder|Conference|US,Wednesday,3,US,0
HR Director,AI,large,Conference,executive,0.637,0.426,HR Director|Conference|Europe,Monday,23,Europe,0
VP Sales,SaaS,large,ColdList,senior,0.969,0.51,VP Sales|ColdList|US,Monday,0,US,0
CTO,Fintech,enterprise,Referral,senior,0.588,0.471,CTO|Referral|US,Monday,20,US,0
HR Director,Fintech,large,LinkedIn,senior,0.366,0.285,HR Director|LinkedIn|Asia,Sunday,20,Asia,0
VP Sales,AI,large,Conference,senior,0.156,0.347,VP Sales|Conference|Europe,Saturday,12,Europe,0
CEO,Healthcare,large,Referral,mid,0.782,0.473,CEO|Referral|US,Monday,5,US,0
Founder,Healthcare,small,Conference,mid,0.376,0.382,Founder|Conference|US,Tuesday,22,US,0
Marketing Manager,Ecommerce,enterprise,Conference,junior,0.623,0.308,Marketing Manager|Conference|Europe,Thursday,7,Europe,0
CEO,SaaS,large,Conference,mid,0.789,0.421,CEO|Conference|Asia,Monday,11,Asia,1
Founder,Healthcare,small,ColdList,senior,0.273,0.308,Founder|ColdList|US,Wednesday,4,US,0
CTO,SaaS,small,Referral,junior,0.538,0.46,CTO|Referral|Europe,Thursday,15,Europe,0
VP Sales,Fintech,medium,Referral,junior,0.837,0.51,VP Sales|Referral|Europe,Monday,22,Europe,0
CEO,Ecommerce,enterprise,LinkedIn,senior,0.523,0.432,CEO|LinkedIn|US,Wednesday,7,US,1
CEO,Fintech,small,Conference,junior,0.902,0.456,CEO|Conference|Asia,Tuesday,2,Asia,0
CEO,Ecommerce,enterprise,ColdList,senior,0.913,0.468,CEO|ColdList|Asia,Friday,6,Asia,0
HR Director,Healthcare,small,LinkedIn,executive,0.774,0.47,HR Director|LinkedIn|Europe,Saturday,20,Europe,0
Founder,Ecommerce,small,LinkedIn,junior,0.064,0.246,Founder|LinkedIn|Asia,Tuesday,1,Asia,0
CEO,Ecommerce,medium,ColdList,mid,0.148,0.215,CEO|ColdList|Europe,Thursday,15,Europe,0
CTO,Healthcare,medium,Referral,senior,0.279,0.402,CTO|Referral|Europe,Saturday,19,Europe,0
CTO,Fintech,enterprise,LinkedIn,executive,0.724,0.468,CTO|LinkedIn|Asia,Wednesday,10,Asia,1
HR Director,Ecommerce,enterprise,LinkedIn,mid,0.121,0.16,HR Director|LinkedIn|Europe,Wednesday,21,Europe,0
CTO,AI,enterprise,Conference,junior,0.05,0.255,CTO|Conference|Asia,Friday,13,Asia,0
Marketing Manager,SaaS,small,ColdList,mid,0.489,0.296,Marketing Manager|ColdList|US,Sunday,1,US,0
CTO,AI,small,Referral,senior,0.414,0.472,CTO|Referral|US,Sunday,5,US,0
Marketing Manager,Healthcare,large,ColdList,executive,0.01,0.18,Marketing Manager|ColdList|US,Friday,11,US,0
Marketing Manager,Healthcare,medium,Referral,mid,0.673,0.439,Marketing Manager|Referral|US,Thursday,19,US,0
Marketing Manager,SaaS,medium,ColdList,mid,0.682,0.333,Marketing Manager|ColdList|US,Tuesday,18,US,0
CEO,Fintech,medium,ColdList,mid,0.546,0.349,CEO|ColdList|Europe,Monday,17,Europe,0
VP Sales,SaaS,enterprise,Conference,senior,0.68,0.421,VP Sales|Conference|Asia,Tuesday,5,Asia,0
Founder,Ecommerce,medium,Conference,executive,0.014,0.283,Founder|Conference|US,Friday,17,US,1
CEO,Fintech,enterprise,Inbound,mid,0.392,0.386,CEO|Inbound|Europe,Saturday,3,Europe,0
VP Sales,Ecommerce,enterprise,Conference,junior,0.542,0.361,VP Sales|Conference|Asia,Monday,15,Asia,1
CTO,Fintech,medium,Conference,senior,0.014,0.287,CTO|Conference|Europe,Tuesday,22,Europe,0
CTO,Ecommerce,medium,Inbound,junior,0.235,0.317,CTO|Inbound|US,Tuesday,14,US,1
VP Sales,AI,enterprise,Referral,executive,0.828,0.572,VP Sales|Referral|US,Tuesday,18,US,0
HR Director,Ecommerce,large,Inbound,senior,0.26,0.343,HR Director|Inbound|Asia,Thursday,13,Asia,0
CEO,Healthcare,medium,Referral,senior,0.03,0.295,CEO|Referral|Asia,Thursday,5,Asia,0
Founder,Ecommerce,small,Conference,junior,0.665,0.452,Founder|Conference|Asia,Monday,18,Asia,0
HR Director,SaaS,large,LinkedIn,mid,0.231,0.216,HR Director|LinkedIn|Europe,Saturday,5,Europe,0
CEO,Fintech,enterprise,ColdList,senior,0.136,0.273,CEO|ColdList|US,Thursday,7,US,0
CEO,Fintech,small,ColdList,senior,0.238,0.298,CEO|ColdList|US,Wednesday,1,US,0
CEO,Ecommerce,enterprise,ColdList,senior,0.097,0.234,CEO|ColdList|Europe,Saturday,21,Europe,0
CTO,Healthcare,small,Inbound,executive,0.173,0.409,CTO|Inbound|Europe,Wednesday,18,Europe,0
VP Sales,SaaS,large,Conference,senior,0.844,0.498,VP Sales|Conference|Europe,Saturday,18,Europe,0
CTO,SaaS,small,Referral,mid,0.658,0.493,CTO|Referral|US,Thursday,4,US,0
Founder,AI,enterprise,ColdList,senior,0.86,0.455,Founder|ColdList|US,Sunday,13,US,0
Marketing Manager,SaaS,enterprise,Conference,executive,0.649,0.411,Marketing Manager|Conference|Asia,Wednesday,11,Asia,1
Founder,Healthcare,enterprise,Inbound,executive,0.406,0.399,Founder|Inbound|US,Saturday,5,US,0
HR Director,Ecommerce,large,LinkedIn,senior,0.234,0.257,HR Director|LinkedIn|Asia,Saturday,0,Asia,0
CEO,AI,small,Conference,mid,0.43,0.358,CEO|Conference|Europe,Monday,15,Europe,0
CEO,Fintech,medium,LinkedIn,mid,0.68,0.455,CEO|LinkedIn|US,Tuesday,20,US,0
CEO,Ecommerce,small,Inbound,junior,0.917,0.495,CEO|Inbound|US,Wednesday,14,US,1
CEO,Ecommerce,large,Inbound,mid,0.729,0.493,CEO|Inbound|Asia,Wednesday,0,Asia,0
CTO,AI,large,Referral,senior,0.088,0.339,CTO|Referral|Asia,Tuesday,10,Asia,0
Marketing Manager,Fintech,small,Conference,junior,0.605,0.328,Marketing Manager|Conference|Europe,Saturday,2,Europe,0
Marketing Manager,Healthcare,small,ColdList,senior,0.865,0.433,Marketing Manager|ColdList|Asia,Tuesday,7,Asia,0
Marketing Manager,SaaS,enterprise,Conference,mid,0.689,0.387,Marketing Manager|Conference|Europe,Tuesday,1,Europe,0
Founder,AI,large,Inbound,junior,0.174,0.316,Founder|Inbound|Europe,Friday,9,Europe,0
HR Director,SaaS,small,Conference,mid,0.369,0.259,HR Director|Conference|Asia,Wednesday,19,Asia,0
HR Director,Healthcare,large,LinkedIn,mid,0.217,0.264,HR Director|LinkedIn|US,Friday,13,US,0
VP Sales,SaaS,enterprise,LinkedIn,executive,0.826,0.489,VP Sales|LinkedIn|US,Wednesday,8,US,0
HR Director,Fintech,enterprise,Conference,junior,0.127,0.156,HR Director|Conference|Europe,Saturday,8,Europe,0
Marketing Manager,Fintech,small,Referral,junior,0.453,0.385,Marketing Manager|Referral|Europe,Friday,19,Europe,0
VP Sales,Fintech,enterprise,Conference,mid,0.854,0.454,VP Sales|Conference|Asia,Wednesday,2,Asia,0
CTO,Healthcare,enterprise,Inbound,executive,0.314,0.413,CTO|Inbound|Europe,Saturday,17,Europe,0
CTO,Ecommerce,medium,ColdList,senior,0.247,0.295,CTO|ColdList|Europe,Monday,14,Europe,0
CTO,Healthcare,small,ColdList,mid,0.542,0.34,CTO|ColdList|US,Saturday,8,US,0
VP Sales,Healthcare,large,ColdList,senior,0.44,0.328,VP Sales|ColdList|Asia,Sunday,18,Asia,0
Marketing Manager,SaaS,large,Conference,mid,0.409,0.295,Marketing Manager|Conference|US,Saturday,1,US,0
Founder,Fintech,medium,LinkedIn,mid,0.149,0.283,Founder|LinkedIn|Europe,Friday,13,Europe,0
CEO,AI,large,Inbound,junior,0.871,0.494,CEO|Inbound|Europe,Thursday,14,Europe,0
HR Director,Ecommerce,medium,Referral,senior,0.713,0.459,HR Director|Referral|US,Saturday,8,US,0
CEO,Ecommerce,enterprise,LinkedIn,junior,0.461,0.378,CEO|LinkedIn|Europe,Monday,13,Europe,0
Marketing Manager,AI,medium,Inbound,senior,0.925,0.512,Marketing Manager|Inbound|Europe,Sunday,1,Europe,0
HR Director,Fintech,large,Inbound,executive,0.235,0.342,HR Director|Inbound|Asia,Sunday,1,Asia,0
Marketing Manager,AI,large,LinkedIn,executive,0.58,0.435,Marketing Manager|LinkedIn|Europe,Saturday,19,Europe,0
HR Director,SaaS,large,Referral,junior,0.356,0.336,HR Director|Referral|US,Wednesday,23,US,0
Marketing Manager,Fintech,large,Conference,senior,0.033,0.239,Marketing Manager|Conference|US,Monday,11,US,0
VP Sales,SaaS,medium,ColdList,senior,0.921,0.462,VP Sales|ColdList|US,Thursday,12,US,0
VP Sales,Ecommerce,enterprise,ColdList,junior,0.667,0.368,VP Sales|ColdList|US,Monday,18,US,0
CTO,Ecommerce,large,LinkedIn,executive,0.17,0.384,CTO|LinkedIn|Europe,Sunday,7,Europe,0
CTO,AI,small,LinkedIn,executive,0.05,0.285,CTO|LinkedIn|US,Tuesday,18,US,0
CTO,Fintech,small,LinkedIn,mid,0.585,0.426,CTO|LinkedIn|US,Wednesday,1,US,0
HR Director,Healthcare,medium,Inbound,junior,0.708,0.387,HR Director|Inbound|US,Wednesday,10,US,0
CTO,AI,enterprise,ColdList,executive,0.702,0.481,CTO|ColdList|Europe,Wednesday,10,Europe,1
VP Sales,Fintech,medium,Referral,mid,0.777,0.511,VP Sales|Referral|Asia,Sunday,20,Asia,0
VP Sales,AI,small,Inbound,junior,0.207,0.351,VP Sales|Inbound|US,Wednesday,17,US,0
CEO,SaaS,small,Conference,junior,0.406,0.382,CEO|Conference|Asia,Sunday,8,Asia,0
CEO,AI,medium,ColdList,junior,0.965,0.511,CEO|ColdList|Asia,Saturday,15,Asia,0
HR Director,Fintech,small,Conference,junior,0.547,0.343,HR Director|Conference|US,Sunday,4,US,0
VP Sales,SaaS,enterprise,Referral,mid,0.962,0.536,VP Sales|Referral|Europe,Monday,16,Europe,0
HR Director,SaaS,small,Inbound,junior,0.154,0.258,HR Director|Inbound|Asia,Sunday,7,Asia,0
HR Director,Healthcare,small,Referral,senior,0.45,0.38,HR Director|Referral|Europe,Wednesday,7,Europe,1
CTO,Ecommerce,medium,ColdList,senior,0.91,0.497,CTO|ColdList|US,Thursday,22,US,0
HR Director,Healthcare,medium,ColdList,junior,0.664,0.317,HR Director|ColdList|Asia,Tuesday,16,Asia,1
CTO,Healthcare,large,Inbound,junior,0.261,0.351,CTO|Inbound|US,Monday,19,US,0
HR Director,AI,enterprise,Referral,executive,0.616,0.449,HR Director|Referral|US,Friday,10,US,0
CTO,SaaS,enterprise,Conference,mid,0.22,0.272,CTO|Conference|Europe,Friday,5,Europe,0
Marketing Manager,Ecommerce,small,Referral,senior,0.576,0.427,Marketing Manager|Referral|Asia,Thursday,16,Asia,0
Marketing Manager,Ecommerce,large,ColdList,mid,0.027,0.196,Marketing Manager|ColdList|US,Monday,21,US,0
HR Director,AI,large,ColdList,senior,0.551,0.306,HR Director|ColdList|Asia,Wednesday,15,Asia,1
CTO,Ecommerce,enterprise,LinkedIn,mid,0.679,0.422,CTO|LinkedIn|Asia,Tuesday,3,Asia,0
CTO,Fintech,large,ColdList,mid,0.574,0.331,CTO|ColdList|US,Monday,6,US,0
CEO,Healthcare,medium,Inbound,junior,0.055,0.259,CEO|Inbound|Europe,Tuesday,19,Europe,0
Marketing Manager,AI,small,Referral,executive,0.215,0.35,Marketing Manager|Referral|US,Monday,20,US,0
HR Director,Fintech,medium,LinkedIn,mid,0.158,0.219,HR Director|LinkedIn|Europe,Monday,14,Europe,0
CEO,SaaS,medium,Conference,senior,0.418,0.371,CEO|Conference|US,Monday,6,US,0
Founder,Fintech,large,Conference,senior,0.398,0.389,Founder|Conference|US,Monday,18,US,0
CTO,Ecommerce,large,ColdList,junior,0.751,0.441,CTO|ColdList|US,Thursday,11,US,0
VP Sales,Ecommerce,medium,ColdList,executive,0.935,0.535,VP Sales|ColdList|Europe,Sunday,16,Europe,0
VP Sales,Healthcare,large,ColdList,executive,0.486,0.411,VP Sales|ColdList|US,Monday,10,US,0
CTO,Healthcare,enterprise,Inbound,executive,0.923,0.536,CTO|Inbound|US,Sunday,10,US,1
Founder,Fintech,large,Conference,executive,0.003,0.282,Founder|Conference|Europe,Sunday,5,Europe,0
Marketing Manager,SaaS,small,ColdList,executive,0.407,0.315,Marketing Manager|ColdList|Asia,Monday,22,Asia,0
CEO,Ecommerce,large,LinkedIn,senior,0.102,0.259,CEO|LinkedIn|Europe,Tuesday,14,Europe,0
CTO,Ecommerce,medium,Referral,senior,0.175,0.33,CTO|Referral|Asia,Tuesday,7,Asia,0
Marketing Manager,AI,enterprise,Referral,executive,0.378,0.407,Marketing Manager|Referral|US,Wednesday,23,US,0
Founder,Healthcare,small,ColdList,junior,0.132,0.237,Founder|ColdList|Europe,Friday,10,Europe,0
HR Director,Ecommerce,large,Referral,mid,0.331,0.328,HR Director|Referral|Europe,Sunday,21,Europe,0
Founder,SaaS,enterprise,Inbound,senior,0.223,0.35,Founder|Inbound|Asia,Wednesday,20,Asia,1
HR Director,Healthcare,large,LinkedIn,mid,0.991,0.423,HR Director|LinkedIn|US,Friday,22,US,0
Founder,Healthcare,medium,LinkedIn,junior,0.08,0.239,Founder|LinkedIn|US,Friday,13,US,0
Founder,SaaS,small,ColdList,junior,0.282,0.309,Founder|ColdList|Asia,Sunday,10,Asia,0
HR Director,Healthcare,large,LinkedIn,junior,0.847,0.407,HR Director|LinkedIn|Europe,Wednesday,19,Europe,0
HR Director,AI,large,Inbound,senior,0.168,0.26,HR Director|Inbound|Europe,Monday,22,Europe,0
CTO,Ecommerce,medium,Inbound,executive,0.321,0.424,CTO|Inbound|Europe,Friday,1,Europe,0
HR Director,AI,large,LinkedIn,senior,0.993,0.494,HR Director|LinkedIn|US,Monday,19,US,0
VP Sales,SaaS,enterprise,Inbound,executive,0.657,0.461,VP Sales|Inbound|Europe,Monday,21,Europe,0
CTO,Fintech,large,LinkedIn,mid,0.817,0.459,CTO|LinkedIn|US,Wednesday,17,US,0
Marketing Manager,Ecommerce,large,Inbound,mid,0.484,0.338,Marketing Manager|Inbound|Asia,Saturday,1,Asia,0
CEO,Healthcare,small,ColdList,executive,0.563,0.39,CEO|ColdList|Asia,Saturday,8,Asia,0
HR Director,Fintech,enterprise,Conference,junior,0.019,0.154,HR Director|Conference|US,Tuesday,22,US,0
Founder,AI,large,Inbound,executive,0.584,0.51,Founder|Inbound|US,Wednesday,15,US,0
Founder,AI,enterprise,Referral,mid,0.477,0.421,Founder|Referral|Asia,Friday,16,Asia,1
HR Director,Ecommerce,enterprise,Inbound,executive,0.871,0.461,HR Director|Inbound|Asia,Monday,17,Asia,0
HR Director,SaaS,small,Referral,mid,0.796,0.488,HR Director|Referral|Asia,Friday,10,Asia,1
CEO,Fintech,large,LinkedIn,executive,0.012,0.303,CEO|LinkedIn|US,Thursday,3,US,0
CEO,Fintech,enterprise,Inbound,junior,0.842,0.5,CEO|Inbound|US,Saturday,2,US,0
Founder,Fintech,medium,LinkedIn,senior,0.282,0.328,Founder|LinkedIn|Asia,Wednesday,21,Asia,0
Founder,Ecommerce,small,Conference,senior,0.586,0.458,Founder|Conference|US,Thursday,3,US,0
Marketing Manager,Ecommerce,small,LinkedIn,mid,0.511,0.344,Marketing Manager|LinkedIn|Europe,Tuesday,4,Europe,0
Founder,Fintech,small,Referral,executive,0.492,0.451,Founder|Referral|Europe,Wednesday,6,Europe,0
Marketing Manager,Healthcare,medium,ColdList,junior,0.498,0.291,Marketing Manager|ColdList|Europe,Tuesday,7,Europe,0
CEO,SaaS,small,ColdList,mid,0.613,0.375,CEO|ColdList|Asia,Saturday,15,Asia,0
CEO,SaaS,small,Conference,executive,0.009,0.266,CEO|Conference|US,Monday,13,US,1
CEO,AI,small,Conference,executive,0.433,0.408,CEO|Conference|Asia,Saturday,20,Asia,0
Founder,Fintech,small,Referral,senior,0.044,0.312,Founder|Referral|US,Sunday,3,US,0
Founder,Ecommerce,large,LinkedIn,mid,0.82,0.47,Founder|LinkedIn|Europe,Monday,16,Europe,0
Marketing Manager,AI,large,Inbound,executive,0.141,0.322,Marketing Manager|Inbound|US,Wednesday,14,US,1
Marketing Manager,AI,medium,LinkedIn,executive,0.837,0.455,Marketing Manager|LinkedIn|Asia,Thursday,7,Asia,0
VP Sales,AI,small,ColdList,senior,0.259,0.311,VP Sales|ColdList|Europe,Thursday,22,Europe,0
HR Director,AI,medium,ColdList,mid,0.703,0.36,HR Director|ColdList|Asia,Friday,16,Asia,0
CTO,Ecommerce,medium,LinkedIn,senior,0.238,0.32,CTO|LinkedIn|Asia,Monday,15,Asia,0
CTO,Fintech,enterprise,Inbound,executive,0.34,0.382,CTO|Inbound|Asia,Friday,7,Asia,0
CEO,Healthcare,small,ColdList,senior,0.836,0.447,CEO|ColdList|US,Tuesday,8,US,0
CTO,Fintech,medium,ColdList,junior,0.186,0.24,CTO|ColdList|US,Thursday,4,US,0
CEO,SaaS,enterprise,ColdList,junior,0.599,0.322,CEO|ColdList|Europe,Wednesday,6,Europe,0
CEO,Fintech,medium,Inbound,executive,0.938,0.565,CEO|Inbound|Europe,Tuesday,7,Europe,0
Founder,Fintech,enterprise,ColdList,senior,0.682,0.446,Founder|ColdList|Europe,Friday,5,Europe,0
Founder,AI,large,LinkedIn,junior,0.557,0.412,Founder|LinkedIn|Asia,Wednesday,16,Asia,0
HR Director,SaaS,small,LinkedIn,senior,0.181,0.266,HR Director|LinkedIn|Asia,Monday,15,Asia,0
CTO,Healthcare,large,Referral,mid,0.658,0.506,CTO|Referral|Asia,Friday,23,Asia,0
Marketing Manager,Fintech,medium,ColdList,executive,0.712,0.38,Marketing Manager|ColdList|Europe,Sunday,19,Europe,0
Founder,Fintech,medium,ColdList,mid,0.277,0.317,Founder|ColdList|US,Tuesday,20,US,0
HR Director,Healthcare,medium,LinkedIn,executive,0.193,0.272,HR Director|LinkedIn|Asia,Tuesday,9,Asia,0
HR Director,Healthcare,medium,ColdList,senior,0.48,0.277,HR Director|ColdList|Asia,Tuesday,18,Asia,0
CTO,Fintech,large,Conference,executive,0.935,0.546,CTO|Conference|US,Monday,1,US,0
HR Director,Fintech,enterprise,Referral,senior,0.291,0.361,HR Director|Referral|US,Friday,11,US,0
HR Director,SaaS,large,Referral,mid,0.085,0.253,HR Director|Referral|Europe,Sunday,18,Europe,0
VP Sales,AI,small,LinkedIn,junior,0.053,0.275,VP Sales|LinkedIn|US,Wednesday,9,US,0
CTO,Fintech,medium,LinkedIn,executive,0.138,0.306,CTO|LinkedIn|Europe,Sunday,15,Europe,0
VP Sales,Healthcare,large,Conference,senior,0.239,0.316,VP Sales|Conference|Asia,Sunday,15,Asia,0
HR Director,SaaS,large,ColdList,junior,0.866,0.361,HR Director|ColdList|US,Tuesday,1,US,0
CEO,Fintech,enterprise,Referral,executive,0.972,0.573,CEO|Referral|US,Wednesday,3,US,0
HR Director,Fintech,small,LinkedIn,mid,0.381,0.276,HR Director|LinkedIn|US,Tuesday,14,US,0
Marketing Manager,Ecommerce,medium,ColdList,mid,0.864,0.378,Marketing Manager|ColdList|US,Tuesday,18,US,0
Marketing Manager,AI,enterprise,Conference,mid,0.812,0.371,Marketing Manager|Conference|US,Thursday,19,US,0
CTO,Fintech,enterprise,ColdList,mid,0.355,0.316,CTO|ColdList|US,Saturday,9,US,0
Marketing Manager,Healthcare,enterprise,Conference,executive,0.745,0.462,Marketing Manager|Conference|Europe,Tuesday,5,Europe,0
Marketing Manager,Healthcare,small,ColdList,senior,0.995,0.442,Marketing Manager|ColdList|US,Wednesday,5,US,0
Marketing Manager,Ecommerce,enterprise,ColdList,mid,0.366,0.197,Marketing Manager|ColdList|Asia,Friday,14,Asia,0
Founder,Healthcare,small,Referral,senior,0.85,0.557,Founder|Referral|Asia,Sunday,16,Asia,0
VP Sales,SaaS,small,ColdList,executive,0.846,0.497,VP Sales|ColdList|Asia,Tuesday,18,Asia,0
HR Director,AI,large,Referral,senior,0.005,0.281,HR Director|Referral|Asia,Wednesday,0,Asia,0
Founder,SaaS,enterprise,Inbound,junior,0.531,0.401,Founder|Inbound|Europe,Friday,7,Europe,0
Founder,Fintech,enterprise,ColdList,senior,0.263,0.315,Founder|ColdList|Europe,Friday,14,Europe,0
HR Director,Healthcare,large,Referral,senior,0.734,0.477,HR Director|Referral|Asia,Tuesday,20,Asia,0
Marketing Manager,Fintech,enterprise,Inbound,mid,0.797,0.394,Marketing Manager|Inbound|Asia,Wednesday,12,Asia,0
Founder,AI,small,Conference,executive,0.907,0.533,Founder|Conference|Europe,Thursday,5,Europe,1
Founder,SaaS,enterprise,Conference,senior,0.373,0.369,Founder|Conference|US,Monday,19,US,0
VP Sales,Healthcare,small,Inbound,mid,0.464,0.432,VP Sales|Inbound|Europe,Tuesday,6,Europe,1
CEO,Ecommerce,large,Inbound,executive,0.191,0.372,CEO|Inbound|Europe,Monday,17,Europe,0
CEO,SaaS,medium,Conference,junior,0.221,0.285,CEO|Conference|US,Saturday,0,US,0
CTO,Ecommerce,enterprise,Referral,senior,0.071,0.319,CTO|Referral|Europe,Monday,6,Europe,1
Founder,Fintech,medium,Inbound,senior,0.04,0.338,Founder|Inbound|US,Monday,14,US,0
HR Director,Healthcare,small,Inbound,executive,0.101,0.306,HR Director|Inbound|Europe,Wednesday,13,Europe,0
HR Director,Fintech,enterprise,Referral,junior,0.975,0.479,HR Director|Referral|US,Sunday,18,US,0
VP Sales,SaaS,small,LinkedIn,junior,0.969,0.537,VP Sales|LinkedIn|Asia,Saturday,19,Asia,0
Founder,Healthcare,small,LinkedIn,mid,0.132,0.3,Founder|LinkedIn|Asia,Saturday,21,Asia,0
Founder,SaaS,enterprise,LinkedIn,junior,0.527,0.331,Founder|LinkedIn|Europe,Wednesday,7,Europe,0
CTO,SaaS,medium,Referral,mid,0.725,0.498,CTO|Referral|Europe,Tuesday,22,Europe,0
Founder,SaaS,large,LinkedIn,junior,0.122,0.307,Founder|LinkedIn|Asia,Sunday,2,Asia,0
Marketing Manager,Ecommerce,small,LinkedIn,executive,0.916,0.529,Marketing Manager|LinkedIn|Asia,Thursday,19,Asia,1
CTO,AI,large,LinkedIn,junior,0.791,0.488,CTO|LinkedIn|US,Sunday,13,US,0
Marketing Manager,SaaS,enterprise,ColdList,mid,0.912,0.396,Marketing Manager|ColdList|Asia,Friday,10,Asia,0
CTO,SaaS,enterprise,LinkedIn,mid,0.813,0.439,CTO|LinkedIn|Asia,Wednesday,9,Asia,0
HR Director,AI,medium,LinkedIn,mid,0.916,0.438,HR Director|LinkedIn|Asia,Sunday,8,Asia,0
Marketing Manager,Ecommerce,large,LinkedIn,mid,0.294,0.256,Marketing Manager|LinkedIn|US,Wednesday,20,US,0
CEO,SaaS,enterprise,ColdList,senior,0.503,0.398,CEO|ColdList|Asia,Thursday,3,Asia,0
VP Sales,SaaS,medium,Inbound,mid,0.014,0.27,VP Sales|Inbound|Europe,Monday,16,Europe,0
VP Sales,AI,large,Inbound,mid,0.178,0.281,VP Sales|Inbound|Asia,Saturday,15,Asia,0
CTO,AI,enterprise,Referral,junior,0.698,0.495,CTO|Referral|Europe,Thursday,13,Europe,0
Founder,Healthcare,small,Referral,executive,0.945,0.58,Founder|Referral|Asia,Wednesday,19,Asia,1
HR Director,Healthcare,small,Conference,senior,0.822,0.479,HR Director|Conference|Europe,Friday,10,Europe,0
Marketing Manager,AI,enterprise,ColdList,executive,0.462,0.345,Marketing Manager|ColdList|Asia,Monday,7,Asia,0
CEO,AI,medium,Conference,mid,0.636,0.44,CEO|Conference|Europe,Tuesday,16,Europe,0
CEO,Healthcare,enterprise,Conference,senior,0.257,0.305,CEO|Conference|Asia,Saturday,17,Asia,0
Founder,AI,enterprise,ColdList,senior,0.628,0.427,Founder|ColdList|US,Saturday,1,US,0
HR Director,SaaS,large,Referral,executive,0.416,0.395,HR Director|Referral|Europe,Sunday,18,Europe,0
Founder,Fintech,medium,Referral,mid,0.306,0.353,Founder|Referral|US,Wednesday,23,US,0
CEO,Fintech,enterprise,ColdList,executive,0.671,0.41,CEO|ColdList|Asia,Wednesday,19,Asia,0
CEO,Ecommerce,small,LinkedIn,mid,0.233,0.297,CEO|LinkedIn|Asia,Saturday,14,Asia,0
Marketing Manager,Healthcare,enterprise,LinkedIn,junior,0.914,0.404,Marketing Manager|LinkedIn|US,Monday,3,US,0
VP Sales,Fintech,medium,LinkedIn,senior,0.243,0.304,VP Sales|LinkedIn|Asia,Wednesday,5,Asia,0
HR Director,Healthcare,large,LinkedIn,junior,0.376,0.274,HR Director|LinkedIn|Asia,Friday,14,Asia,0
HR Director,Ecommerce,medium,LinkedIn,senior,0.064,0.254,HR Director|LinkedIn|Asia,Saturday,19,Asia,0
Marketing Manager,AI,medium,LinkedIn,junior,0.139,0.239,Marketing Manager|LinkedIn|US,Thursday,7,US,0
Founder,AI,medium,Conference,executive,0.629,0.478,Founder|Conference|Asia,Friday,0,Asia,0
CEO,Healthcare,enterprise,Conference,mid,0.695,0.394,CEO|Conference|Europe,Monday,2,Europe,0
CEO,Ecommerce,enterprise,LinkedIn,senior,0.109,0.298,CEO|LinkedIn|Europe,Sunday,5,Europe,0
CTO,Healthcare,large,Conference,junior,0.281,0.295,CTO|Conference|Asia,Tuesday,16,Asia,0
HR Director,SaaS,enterprise,Conference,senior,0.709,0.407,HR Director|Conference|Asia,Tuesday,22,Asia,0
CTO,AI,large,Conference,senior,0.246,0.338,CTO|Conference|Europe,Sunday,18,Europe,0
Founder,Healthcare,medium,ColdList,senior,0.817,0.504,Founder|ColdList|Asia,Thursday,18,Asia,0
Marketing Manager,AI,large,ColdList,junior,0.728,0.316,Marketing Manager|ColdList|US,Wednesday,4,US,0
Founder,Healthcare,small,LinkedIn,executive,0.446,0.402,Founder|LinkedIn|Europe,Wednesday,8,Europe,0
HR Director,AI,enterprise,Inbound,executive,0.384,0.365,HR Director|Inbound|Europe,Tuesday,23,Europe,0
Founder,AI,medium,LinkedIn,junior,0.746,0.437,Founder|LinkedIn|Asia,Saturday,4,Asia,0
Marketing Manager,Fintech,large,Conference,mid,0.454,0.327,Marketing Manager|Conference|Asia,Sunday,15,Asia,0
CEO,AI,large,Inbound,executive,0.807,0.575,CEO|Inbound|US,Monday,7,US,0
CTO,Healthcare,medium,Referral,senior,0.557,0.503,CTO|Referral|Europe,Thursday,4,Europe,0
CTO,AI,enterprise,Inbound,senior,0.311,0.365,CTO|Inbound|Asia,Friday,15,Asia,0
Marketing Manager,Ecommerce,medium,ColdList,junior,0.913,0.437,Marketing Manager|ColdList|Asia,Wednesday,8,Asia,0
VP Sales,Fintech,enterprise,Referral,executive,0.786,0.579,VP Sales|Referral|US,Tuesday,21,US,0
